"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,1298.651,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,1311.679,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1319.781,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,1366.793,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,1335.89,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,1307.437,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1270.096,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,1162.668,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,1129.564,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,1057.523,,
"AUS","Australia","LFEAMNTT","Employment - by economic activity, Manufacturing, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,1047.596,,
